unit,day,minutes,size_mb,width,height,topic_guess,path
9,2,16.8,751.5,1440,1920,U9-D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 18/U9-D2 Video.MP4
9,3,14.46,918.2,1440,1920,U9-D3,teacher and student work/Copy of Algebra 2B (Khan) G Block 18/U9-D3 Video (23-24).MP4
8,2,9.08,311.4,1440,1920,U8-D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 19/U8-D2 Video(1).mp4
8,5,16.11,522.2,1440,1920,U8-D5,teacher and student work/Copy of Algebra 2B (Khan) G Block 19/U8-D5 video(1).mp4
9,1,9.73,420.4,1440,1920,U9-D1,teacher and student work/Copy of Algebra 2B (Khan) G Block 19/U9-D1 Video (23-24).MP4
review,,20.38,755.5,1440,1920,Unit 8 Study Guide,teacher and student work/Copy of Algebra 2B (Khan) G Block 19/Unit 8 Study Guide Video(1).mp4
unknown,,4.87,316.6,2880,1800,PLYSMLT,teacher and student work/Copy of Algebra 2B (Khan) G Block 2/PLYSMLT Video.mov
3,4,20.66,627.9,1440,1920,U3-D4,teacher and student work/Copy of Algebra 2B (Khan) G Block 2/U3-D4 Video (25-26).MP4
3,5,12.0,392.6,1440,1920,U3-D5,teacher and student work/Copy of Algebra 2B (Khan) G Block 2/U3-D5 Video (24-25).MP4
3,8,9.53,308.2,1440,1920,U3-D8,teacher and student work/Copy of Algebra 2B (Khan) G Block 2/U3-D8 Video Part 2 (25-26).MP4
3,9,10.58,339.7,1440,1920,U3-D9,teacher and student work/Copy of Algebra 2B (Khan) G Block 2/U3-D9 Video (25-26).MP4
1,1,13.71,343.3,1440,1920,U1 - D1 Summer Review,teacher and student work/Copy of Algebra 2B (Khan) G Block 20/U1 - D1 Summer Review Video.mp4
1,2,24.27,455.5,1440,1920,U1 - D2,teacher and student work/Copy of Algebra 2B (Khan) G Block 20/U1 - D2 Video.mp4
1,4,24.09,48.3,1920,1440,U1 - D4,teacher and student work/Copy of Algebra 2B (Khan) G Block 20/U1 - D4 Video.mp4
1,5,12.65,407.8,1440,1920,U1 - D5,teacher and student work/Copy of Algebra 2B (Khan) G Block 20/U1 - D5 video.mp4
